Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
TATAMOTORS,EQ,02-Apr-2012,275.25,279.9,280.0,275.7,276.7,276.8,277.78,7925946,2201685950.9,87762
TATAMOTORS,EQ,03-Apr-2012,276.8,278.5,282.0,275.3,281.5,281.25,279.12,8217743,2293729785.95,58136
TATAMOTORS,EQ,04-Apr-2012,281.25,280.0,281.8,277.3,279.0,278.55,279.25,4783053,1335668182.85,37353
TATAMOTORS,EQ,09-Apr-2012,278.55,277.0,278.85,273.7,275.25,275.6,275.58,3938410,1085332344.15,38993
TATAMOTORS,EQ,10-Apr-2012,275.6,276.1,284.7,275.5,283.6,283.75,280.98,8158548,2292420834.7,77625
TATAMOTORS,EQ,11-Apr-2012,283.75,281.15,286.45,280.7,283.75,283.05,283.55,9845563,2791691923.2,115269
TATAMOTORS,EQ,12-Apr-2012,283.05,285.25,287.7,284.0,285.75,286.2,285.98,5662436,1619326186.05,54950
TATAMOTORS,EQ,13-Apr-2012,286.2,288.0,294.6,287.0,289.0,289.3,291.31,7715327,2247581380.75,73378
TATAMOTORS,EQ,16-Apr-2012,289.3,289.75,301.9,286.85,301.55,300.7,296.29,12236366,3625455141.0,127621
TATAMOTORS,EQ,17-Apr-2012,300.7,304.0,304.95,296.65,300.65,301.35,301.31,13941921,4200844848.65,137275
TATAMOTORS,EQ,18-Apr-2012,301.35,303.5,311.25,303.0,309.35,309.75,308.34,16888385,5207323870.0,141650
TATAMOTORS,EQ,19-Apr-2012,309.75,311.35,320.3,309.6,319.3,319.25,316.33,15579229,4928104333.55,128080
TATAMOTORS,EQ,20-Apr-2012,319.25,317.7,320.75,312.5,316.0,316.65,317.04,8967838,2843173267.1,113921
TATAMOTORS,EQ,23-Apr-2012,316.65,316.5,319.9,308.65,309.0,309.75,313.28,7833302,2454051427.6,103395
TATAMOTORS,EQ,24-Apr-2012,309.75,309.5,314.25,309.05,312.15,311.85,311.85,6156943,1920035951.1,72069
TATAMOTORS,EQ,25-Apr-2012,311.85,312.85,315.45,309.25,313.85,313.95,313.0,8616061,2696792486.5,84004
TATAMOTORS,EQ,26-Apr-2012,313.95,315.9,315.9,310.35,311.8,312.1,312.63,6768605,2116084699.05,72051
TATAMOTORS,EQ,27-Apr-2012,312.1,312.8,313.7,307.7,313.35,312.65,310.84,5604087,1741982040.05,80167
TATAMOTORS,EQ,28-Apr-2012,312.65,313.0,314.2,311.1,314.0,313.1,312.64,213905,66874462.1,3434
TATAMOTORS,EQ,30-Apr-2012,313.1,310.0,317.5,309.95,317.0,316.55,315.16,4648258,1464954441.2,73463
TATAMOTORS,EQ,02-May-2012,316.55,312.95,312.95,303.65,305.0,304.5,307.46,10171961,3127501731.6,127087
TATAMOTORS,EQ,03-May-2012,304.5,304.15,305.0,299.4,301.25,300.95,301.42,10047793,3028618666.95,93270
TATAMOTORS,EQ,04-May-2012,300.95,298.5,303.7,295.3,301.6,301.8,300.36,11603174,3485118741.35,89905
TATAMOTORS,EQ,07-May-2012,301.8,297.9,310.0,291.55,309.5,308.4,301.38,13072268,3939730050.8,124651
TATAMOTORS,EQ,08-May-2012,308.4,308.0,309.55,295.0,297.1,296.4,300.95,10733073,3230122050.45,111073
TATAMOTORS,EQ,09-May-2012,296.4,291.95,297.3,289.4,292.65,292.85,293.65,11204204,3290138216.0,139503
TATAMOTORS,EQ,10-May-2012,292.85,294.05,297.15,287.1,289.8,289.2,293.2,6651924,1950365104.65,75351
TATAMOTORS,EQ,11-May-2012,289.2,288.05,301.9,288.05,297.3,297.5,295.22,7947629,2346287452.5,90375
TATAMOTORS,EQ,14-May-2012,297.5,299.0,300.65,285.65,290.2,290.6,292.86,7048752,2064304240.85,72237
TATAMOTORS,EQ,15-May-2012,290.6,288.0,292.5,284.65,290.25,290.35,288.84,9120585,2634402333.25,85950
TATAMOTORS,EQ,16-May-2012,290.35,276.9,277.05,267.75,268.0,269.0,271.06,23045441,6246619804.9,218690
TATAMOTORS,EQ,17-May-2012,269.0,268.6,275.9,263.65,270.5,271.15,271.63,13669207,3713015585.25,135330
TATAMOTORS,EQ,18-May-2012,271.15,265.0,266.7,256.0,260.65,259.9,260.42,12592092,3279173440.85,132149
TATAMOTORS,EQ,21-May-2012,259.9,260.2,264.25,258.1,261.55,261.85,261.71,7849273,2054262594.4,103973
TATAMOTORS,EQ,22-May-2012,261.85,266.9,269.65,263.4,265.9,265.1,267.14,8507484,2272678193.95,106088
TATAMOTORS,EQ,23-May-2012,265.1,262.1,265.45,259.5,261.5,261.45,262.0,7773910,2036796417.25,71587
TATAMOTORS,EQ,24-May-2012,261.45,262.8,268.05,256.9,266.9,267.0,262.43,8791666,2307166431.4,88437
TATAMOTORS,EQ,25-May-2012,267.0,265.75,271.8,262.35,268.8,269.05,267.05,5198207,1388194435.85,76352
TATAMOTORS,EQ,28-May-2012,269.05,270.7,277.65,268.05,277.1,276.6,273.11,8099946,2212181275.15,77287
TATAMOTORS,EQ,29-May-2012,276.6,280.9,283.1,273.05,273.9,275.75,279.33,12557243,3507649638.35,118026
TATAMOTORS,EQ,30-May-2012,275.75,259.0,259.8,241.55,241.9,243.05,249.16,40496695,10090158713.1,368082
